800	850	-0.0700966	-0.0285262
850	900	-0.0779213	-0.0313786
900	950	-0.0772302	-0.0312091
950	1000	-0.0688051	-0.0279267
1000	1050	-0.0742607	-0.0299488
1050	1150	-0.116766	-0.0465886
1150	1250	-0.0912203	-0.03657
1250	1350	-0.059104	-0.0240471
1350	1450	-0.0505182	-0.0206881
1450	1550	-0.0321476	-0.0135198
1550	2050	-0.0838488	-0.0337014
2050	6990	-0.0340749	-0.0144444
800	6990	-0.835993	0.102423
